Date,Close,Open,High,Low,Volume,Change %
2018-07-31,11356.5,11311.05,11366.0,11267.75,264430000.0,0.33%
2018-08-01,11346.2,11359.8,11390.55,11313.55,278010000.0,-0.09%
2018-08-02,11244.7,11328.9,11328.9,11234.95,216530000.0,-0.89%
2018-08-03,11360.8,11297.8,11368.0,11294.55,225150000.0,1.03%
2018-08-06,11387.1,11401.5,11427.65,11370.6,210000000.0,0.23%
2018-08-07,11389.45,11423.15,11428.95,11359.7,233410000.0,0.02%
2018-08-08,11450.0,11412.5,11459.95,11379.3,217050000.0,0.53%
2018-08-09,11470.7,11493.25,11495.2,11454.1,311520000.0,0.18%
2018-08-10,11429.5,11474.95,11478.75,11419.65,336420000.0,-0.36%
2018-08-13,11355.75,11369.6,11406.3,11340.3,254470000.0,-0.65%
2018-08-14,11435.1,11381.7,11452.45,11370.8,239840000.0,0.70%
2018-08-16,11385.05,11397.15,11449.85,11366.25,299610000.0,-0.44%
2018-08-17,11470.75,11437.15,11486.45,11431.8,241990000.0,0.75%
2018-08-20,11551.75,11502.1,11565.3,11499.65,239840000.0,0.71%
2018-08-21,11570.9,11576.2,11581.75,11539.6,231060000.0,0.17%
2018-08-23,11582.75,11620.7,11620.7,11546.7,256160000.00000003,0.10%
2018-08-24,11557.1,11566.6,11604.6,11532.0,225600000.0,-0.22%
2018-08-27,11691.95,11605.85,11700.95,11595.6,205690000.0,1.17%
2018-08-28,11738.5,11731.95,11760.2,11710.5,249420000.0,0.40%
2018-08-29,11691.9,11744.95,11753.2,11678.85,259350000.00000003,-0.40%
2018-08-30,11676.8,11694.75,11698.8,11639.7,323450000.0,-0.13%
2018-08-31,11680.5,11675.85,11727.65,11640.1,357230000.0,0.03%
2018-09-03,11582.35,11751.8,11751.8,11567.4,241730000.0,-0.84%
2018-09-04,11520.3,11598.75,11602.55,11496.85,262700000.0,-0.54%
2018-09-05,11476.95,11514.85,11542.65,11393.85,253690000.0,-0.38%
2018-09-06,11536.9,11514.15,11562.25,11436.05,255560000.0,0.52%
2018-09-07,11589.1,11558.25,11603.0,11484.4,305030000.0,0.45%
2018-09-10,11438.1,11570.25,11573.0,11427.3,295600000.0,-1.30%
2018-09-11,11287.5,11476.85,11479.4,11274.0,318090000.0,-1.32%
2018-09-12,11369.9,11340.1,11380.75,11250.2,276510000.0,0.73%
2018-09-14,11515.2,11443.5,11523.25,11430.55,285220000.0,1.28%
2018-09-17,11377.75,11464.95,11464.95,11366.9,207620000.0,-1.19%
2018-09-18,11278.9,11381.55,11411.45,11268.95,248300000.0,-0.87%
2018-09-19,11234.35,11326.65,11332.05,11210.9,258420000.00000003,-0.39%
2018-09-21,11143.1,11271.3,11346.8,10866.45,741150000.0,-0.81%
2018-09-24,10967.4,11164.4,11170.15,10943.6,398820000.0,-1.58%
2018-09-25,11067.45,10969.95,11080.6,10882.85,417550000.0,0.91%
2018-09-26,11053.8,11145.55,11145.55,10993.05,351040000.0,-0.12%
2018-09-27,10977.55,11079.8,11089.45,10953.35,418210000.0,-0.69%
2018-09-28,10930.45,11008.1,11034.1,10850.3,492890000.0,-0.43%
2018-10-01,11008.3,10930.9,11035.65,10821.55,398990000.0,0.71%
2018-10-03,10858.25,10982.7,10989.05,10843.75,398760000.0,-1.36%
2018-10-04,10599.25,10754.7,10754.7,10547.25,438200000.0,-2.39%
2018-10-05,10316.45,10514.1,10540.65,10261.9,625150000.0,-2.67%
2018-10-08,10348.05,10310.15,10398.35,10198.4,470280000.0,0.31%
2018-10-09,10301.05,10390.3,10397.6,10279.35,443800000.0,-0.45%
2018-10-10,10460.1,10331.85,10482.35,10318.25,373840000.0,1.54%
2018-10-11,10234.65,10169.8,10335.95,10138.6,498510000.0,-2.16%
2018-10-12,10472.5,10331.55,10492.45,10322.15,354060000.0,2.32%
2018-10-15,10512.5,10524.2,10526.3,10410.15,267519999.99999997,0.38%
